190
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;129;248670;7237275;F;A;I;2;160
0;1064;252840;7237875;M;A;I;2;161
0;484;251400;7235100;M;A;I;2;162
62;29;252850;7238050;F;A;I;2;163
77;1;251425;7235250;M;A;I;2;164
80;45;250800;7233700;F;C;I;2;165
0;62;249600;7239270;F;C;I;2;166
11;46;253650;7234575;M;I;I;2;167
0;1573;255315;7242000;M;J;I;2;168
1;72;251725;7238325;F;I;I;2;169
0;213;250215;7237710;F;C;I;2;170
0;478;251100;7235805;M;C;I;2;171
0;1584;250095;7234110;M;C;I;2;172
0;335;247230;7235820;M;A;I;2;173
0;1471;248145;7237425;F;C;I;2;174
5;20;255225;7240275;F;J;I;2;175
57;0;247975;7238550;F;C;I;2;176
0;266;250020;7234020;F;C;I;2;177
0;170;253155;7236345;M;C;I;2;178
0;113;251760;7236690;M;I;I;2;179
75;1;250425;7235050;F;A;I;2;180
0;375;251145;7233105;F;C;I;2;181
0;586;253695;7240635;M;J;I;2;182
0;1717;249135;7237200;M;C;I;2;183
0;170;253155;7236345;F;C;I;2;184
0;436;250755;7238280;M;C;I;2;185
0;431;251865;7237875;F;C;I;2;186
0;1614;257145;7237320;F;A;I;2;191
0;681;249735;7237545;F;I;I;2;193
0;212;251295;7237140;M;A;I;2;194
0;673;250590;7237275;F;J;I;2;195
0;1519;254865;7240290;F;C;I;2;196
0;170;253155;7236345;F;C;I;2;198
0;740;254160;7241850;M;A;I;2;200
0;484;251220;7235415;F;C;I;2;201
1;46;252825;7238625;M;A;I;2;203
0;4;252105;7237740;M;A;I;2;204
0;1505;248565;7238985;M;A;I;2;205
28;14;255175;7239050;M;A;I;2;206
0;1471;248130;7237425;M;J;I;2;210
0;1508;248520;7239510;F;J;I;2;212
0;681;249255;7236525;M;A;I;2;213
